Id,Title,Episodes,Year,Channel,Company,Technique,IMDb,Users
584,G.I. Joe: A Real American Hero (1989),44.0,1989-1992,Syndication,DIC Entertainment,Traditional,7.2,80%
585,G.I. Joe Extreme,26.0,1995-1996,Syndication,Sunbow Entertainment,Traditional,5.2,79%
586,G.I. Joe: Renegades,26.0,2010-2011,The Hub,Hasbro Studios,Traditional,7.1,77%
587,G.I. Joe: Resolute,11.0,2009,Adult Swim,"Titmouse, Inc.",Traditional,7.5,94%
588,G.I. Joe: Sigma 6,26.0,2005-2006,4Kids TV,Hasbro,Traditional,4.7,92%
589,Gabby's Dollhouse,57.0,2021-present,Netflix,DreamWorks Animation Television,CGI,7.3,73%
590,Gadget & the Gadgetinis,52.0,2002-2003,Fox,DIC Entertainment,Traditional,5.1,91%
591,Gadget Boy & Heather,52.0,1995-1998,Syndication,DIC Entertainment,Traditional,6.7,67%
592,Galaxy High School,13.0,1986,CBS,TMS Entertainment,Traditional,7.4,92%
593,Galtar and the Golden Lance,21.0,1985-1986,Syndication,Hanna-Barbera,Traditional,7.1,76%
594,Game Over,5.0,2001,UPN,Carsey-Werner Productions,CGI,4.5,68%
595,Gargoyles,78.0,1994-1997,Syndication,Walt Disney Television Animation,Traditional,8.0,92%
596,Garfield and Friends,121.0,1988-1994,CBS,Film Roman,Traditional,7.2,93%
597,The Garfield Show,107.0,2009-2016,Cartoon NetworkBoomerang,"Paws, Inc.",CGI,5.5,76%
598,Gary and His Demons,26.0,2018-present,Amazon Prime Video,Mondo Media,Flash,8.0,79%
599,Gary & Mike,13.0,2001,UPN,Bahr-Small Productions,Stop-Motion,7.4,97%
600,The Gary Coleman Show,26.0,1982,NBC,Hanna-Barbera,Traditional,6.2,82%
601,Gary the Rat,26.0,2003,Spike TV,Spike Animation Studios,Flash,6.5,68%
602,Gemusetto,20.0,2019-2020,Adult Swim,Williams Street,Traditional,6.6,52%
603,Gen:Lock,16.0,2019-2021,HBO,Rooster Teeth Studios,CGI,7.2,74%
604,Generation Jets,13.0,2003-2004,WCBS-TV,B-Train Films,Flash,7.0,88%
605,Generation O!,13.0,2000-2001,Kids' WB,Sunbow Entertainment,Traditional,6.6,86%
606,Generator Rex,60.0,2010-2013,Cartoon Network,Cartoon Network Studios,Traditional,7.6,90%
607,Genesis,3.0,2023,YouTube,Blizzard Entertainment,Traditional,6.8,87%
608,George and Martha,52.0,1999-2000,HBO,Nelvana,Traditional,7.0,86%
609,George of the Jungle,17.0,1967,ABC,Jay Ward Productions,Traditional,5.5,79%
610,George of the Jungle (2007),52.0,2007-2017,Cartoon Network,Jay Ward Productions,Flash,4.3,85%
611,Gerald McBoing-Boing,52.0,2005-2007,Cartoon Network,Cookie Jar Entertainment,Flash,7.1,92%
612,Geronimo Stilton,52.0,2009-2012,Kabillion,MoonScoop Group,Traditional,7.4,86%
613,The Get Along Gang,13.0,1984,CBS,DIC Entertainment,Traditional,7.1,95%
614,Get Blake!,26.0,2016,Nicktoons,Marathon Media,Flash,5.6,69%
615,Get Ed,26.0,2005-2006,Jetix,Jetix Animation Concepts,CGI,6.6,96%
616,The Ghost and Molly McGee,41.0,2021-2024,Disney,Disney Television Animation,Flash,7.5,83%
617,Gilligan's Planet,13.0,1982,CBS,Filmation,Traditional,6.0,73%
618,Ginger Snaps,9.0,2017,ABCd,Blue Ribbon Content,Flash,6.8,92%
619,"Glenn Martin, DDS",40.0,2009-2011,Nick at Nite,The Tornante Company,Stop-Motion,4.4,65%
620,Glitch Techs,19.0,2020,Netflix,Nickelodeon Animation Studio,Flash,7.7,78%
621,The Glo Friends,26.0,1986-1987,Syndication,Sunbow Productions,Traditional,6.6,94%
622,"Go Away, Unicorn!",52.0,2018-2019,Disney,Sonar Entertainment,Flash,5.4,65%
623,"Go, Baby!",10.0,2004,Disney,Little Airplane Productions,Flash,7.3,56%
624,"Go, Diego, Go!",80.0,2005-2011,Nickelodeon,Nickelodeon Animation Studio,Traditional,4.3,78%
625,"Go, Dog. Go!",26.0,2021-present,Netflix,DreamWorks Animation Television,CGI,7.3,64%
626,Go Go Gophers,48.0,1968-1969,CBS,"Total Television
Leonardo Television",Traditional,7.3,89%
627,Goober and the Ghost Chasers,16.0,1973,ABC,Hanna-Barbera,Traditional,6.2,70%
628,"God, the Devil and Bob",13.0,"2000, 2011",NBCAdult Swim,Carsey-Werner Productions,Traditional,7.5,82%
630,Godzilla,26.0,1978-1979,NBC,Hanna-Barbera,Traditional,6.2,88%
631,Godzilla: The Series,40.0,1998-1999,Fox,Adelaide Productions,Traditional,6.8,96%
632,Golan the Insatiable,12.0,2013-2015,Fox,ADHD Studios,Flash,6.6,55%
633,Goldie & Bear,107.0,2015-2018,Disney,"Titmouse, Inc.",CGI,6.2,76%
634,Goldie Gold and Action Jack,13.0,1981,ABC,Ruby-Spears Enterprises,Traditional,7.6,93%
635,"Good Morning, Mickey!",80.0,1983-1992,Disney,Walt Disney Productions,Traditional,7.2,85%
636,Good Morning Today,20.0,2013-2014,Fusion TV,The Jim Henson Company,CGI,6.4,74%
637,Good Vibes,13.0,2011,MTV,MTV Animation,Flash,7.4,82%
638,The Goode Family,13.0,2009,ABC,Judgmental Films,Traditional,6.4,57%
639,Goof Troop,78.0,1992,Syndication,Walt Disney Television Animation,Traditional,6.8,88%
640,Gotham Girls,30.0,2000-2002,warnerbros.com,Warner Bros. Animation,Flash,7.2,96%
641,Gravedale High,13.0,1990,NBC,Hanna-Barbera,Traditional,6.5,95%
642,Gravity Falls,40.0,2012-2016,Disney,Disney Television Animation,Traditional,8.9,96%
643,The Great Grape Ape Show,16.0,1975,ABC,Hanna-Barbera,Traditional,6.9,85%
644,The Great North,55.0,2021-present,Fox,Wilo Productions,Flash,6.8,67%
645,Greatest Party Story Ever,20.0,2016,MTV,ShadowMachineMTV Animation,Flash,7.9,86%
646,Green Eggs and Ham,23.0,2019-2022,Netflix,Warner Bros. Animation,Traditional,8.1,80%
647,Green Lantern: The Animated Series,26.0,2011-2013,Cartoon Network,Warner Bros. AnimationDC Entertainment,CGI,8.0,80%
648,Gremlins: Secrets of the Mogwai,10.0,2023-present,HBO,Warner Bros. Animation,CGI,7.1,75%
649,The Grim Adventures of Billy & Mandy,84.0,2003-2007,Cartoon Network,Cartoon Network Studios,Traditional,7.7,94%
650,Grim & Evil,27.0,2001-2004,Cartoon Network,Cartoon Network Studios,Traditional,7.7,94%
651,Grimsburg,1.0,2024-present,Fox,Bento Box Entertainment,Flash,5.6,47%
652,Growing Up Creepie,26.0,2006-2008,Discovery Kids,Mike Young Productions,Flash,7.1,94%
653,The Guardians of Justice,9.0,2022,Netflix,Bootleg Universe,Live-Action/Traditional,5.1,47%
654,Guardians of the Galaxy,79.0,2015-2019,Disney,Marvel Animation,Traditional,7.3,70%
655,The Gumby Show,43.0,1956,NBC,"Clokey Productions
Premavision",Stop-Motion,7.0,82%
656,Hailey's On It!,15.0,2023-present,Disney,Disney Television Animation,Traditional,7.2,80%
657,Hamster & Gretel,19.0,2022-present,Disney,Disney Television Animation,Traditional,6.8,74%
658,Hanazuki: Full of Treasures,35.0,2017-2019,YouTubeDiscovery Family,"Titmouse, Inc",Flash,8.0,90%
659,The Hanna-Barbera New Cartoon Series,52.0,1962-1963,Syndication,Hanna-Barbera,Traditional,7.6,93%
660,Hanna-Barbera's World of Super Adventure,129.0,1978-1984,Syndication,Hanna-Barbera,Traditional,8.4,97%
661,Happily Ever After: Fairy Tales for Every Child,39.0,1995-2000,HBO,Hyperion Animation,Traditional,6.8,84%
663,Harlem Globetrotters,22.0,1970-1971,CBS,Hanna-Barbera,Traditional,6.2,92%
664,HarmonQuest,30.0,2016-2019,SeesoVRV,Universal Content Productions,Flash/Live-Action,8.3,71%
665,Harriet the Spy,20.0,2021-present,Apple TV+,The Jim Henson Company,Flash,5.9,50%
666,Harley Quinn,47.0,2019-present,DC UniverseMax,Warner Bros. AnimationDC Entertainment,Traditional,8.4,79%
667,Harold and the Purple Crayon,13.0,2001-2002,HBO,Adelaide Productions,Traditional,7.9,86%
668,The Harper House,10.0,2021,Paramount+,CBS Eye Animation Productions,Flash,5.3,56%
669,"Harvey Birdman, Attorney at Law",39.0,2000-2007,Adult Swim,Cartoon Network Studios (season 1)Williams Street,Flash,8.0,90%
670,Harvey Girls Forever!,52.0,2018-2020,Netflix,DreamWorks Animation Television,Traditional,6.9,58%
671,The Harveytoons Show,78.0,1950-1964,Syndication,Famous Studios,Traditional,6.1,93%
672,Have a Laugh!,60.0,2009-2012,Disney,Disney Television Animation,Traditional,4.1,54%
673,Hazbin Hotel,8.0,2024-present,Amazon Prime Video,"SpindleHorse Toons
A24
Bento Box Entertainment",Traditional,7.8,94%
674,HBO Storybook Musicals,18.0,1987-1993,HBO,Michael Sporn AnimationKlasky CsupoCinarRandom House,Traditional,8.5,95%
676,He-Man and the Masters of the Universe (1983),130.0,2002-2004,Syndication,Filmation,Traditional,7.5,88%
677,He-Man and the Masters of the Universe (2021),26.0,2021-2022,Netflix,Mattel Television,CGI,6.9,55%
678,The Head,14.0,1994,MTV,Fogelmania ProductionsMTV Animation,Traditional,7.0,79%
679,Headspace Guide to Meditation,8.0,2021,Netflix,Headspace Studios,Flash,8.4,92%
680,Headspace Guide to Sleep,7.0,2021,Netflix,Headspace Studios,Flash,6.8,83%
681,Heathcliff (1980),26.0,1980-1981,ABC,Ruby-Spears Enterprises,Traditional,6.5,84%
682,Heathcliff (1984),86.0,1984-1985,Syndication,DIC Entertainment,Traditional,6.6,89%
683,Hell Den,12.0,2019-2020,DrinkTVSyfy,Dr. God Productions,Flash,5.5,34%
684,Helluva Boss,15.0,2020-present,YouTube,SpindleHorse Toons,Flash,8.2,97%
685,Help!... It's the Hair Bear Bunch!,20.0,1976-1977,CBS,Hanna-Barbera,Traditional,6.3,86%
686,Henry Hugglemonster,49.0,2013-2015,Disney,Brown Bag Films,CGI,5.3,77%
687,Hercules,65.0,1998-1999,ABC,Walt Disney Television Animation,Traditional,6.6,86%
688,The Herculoids,18.0,1967-1968,CBS,Hanna-Barbera,Traditional,7.4,95%
689,Here Comes the Grump,17.0,1969-1970,NBC,DePatie-Freleng Enterprises,Traditional,7.4,90%
690,Hermie and Friends,16.0,2002-2010,Direct to video,"GlueWorks Entertainment
Tommy Nelson",CGI,7.0,88%
691,Hero High,26.0,1981-1982,NBC,Filmation,Traditional,6.9,85%
692,Hey Arnold!,100.0,1996-2004,Nickelodeon,Nickelodeon Animation Studio,Traditional,7.6,92%
693,"Heyyy, It's the King!",13.0,1977,NBC,Hanna-Barbera,Traditional,6.0,74%
694,Hey Joel,13.0,2003,VH1,Curious Pictures,Flash,5.7,54%
695,Hey Monie!,25.0,2003,BET,Soup2Nuts,Flash,8.1,94%
696,Hi Hi Puffy AmiYumi,39.0,2004-2006,Cartoon Network,Renegade AnimationCartoon Network Studios,Flash,6.3,94%
697,Higglytown Heroes,65.0,2004-2008,Disney,Wild Brain,CGI,4.9,90%
698,The High Fructose Adventures of Annoying Orange,60.0,2012-2014,Cartoon Network,"Annoying Orange, Inc.",Live-Action/Flash,1.9,71%
699,High Guardian Spice,12.0,2021,Crunchyroll,Crunchyroll Studios,Traditional,1.5,12%
700,The Hillbilly Bears,26.0,1965-1967,NBC,Hanna-Barbera,Traditional,6.7,93%
701,Histeria!,52.0,1998-2000,Kids' WB,Warner Bros. Animation,Traditional,7.7,89%
702,Hit-Monkey,10.0,2021,Hulu,Floyd County Productions,Traditional,7.8,70%
703,HobbyKids Adventures,27.0,2019-2020,YouTube,"PocketWatch, Inc.",Flash,3.3,63%
704,Hokey Wolf,28.0,1960-1961,Syndication,Hanna-Barbera,Traditional,6.4,95%
705,Holly Hobbie & Friends,8.0,2006-2009,Nickelodeon,Nickelodeon Animation StudioAmerican Greetings,Traditional,7.6,96%
706,Home: Adventures with Tip & Oh,52.0,2016-2018,Netflix,DreamWorks Animation Television,Flash,6.2,63%
707,Home Movies,52.0,1999-2004,UPNAdult Swim,Tom Synder Productions,Flash,8.2,90%
708,Hoops,10.0,2020,Netflix,Pepper Hill Productions,Flash,6.0,76%
709,Hong Kong Phooey,16.0,1974,ABC,Hanna-Barbera,Traditional,6.9,91%
710,Hopeless Pictures,9.0,2005,IFC,Noodlesoup Productions,Flash,7.1,47%
711,Hoppity Hooper,104.0,1964-1967,ABC,Jay Ward Productions,Traditional,7.8,94%
712,Horseland,45.0,2006-2008,CBS,DIC Entertainment,Traditional,6.0,89%
713,Hot Streets,20.0,2018-2019,Adult Swim,Williams Street,Stop-Motion,5.9,64%
714,Hot Wheels,17.0,1969-1971,ABC,Ken Snyder Properties,Traditional,7.4,84%
715,Hot Wheels Let's Race,10.0,2024,Netflix,Mattel Television,CGI,7.5,77%
716,The Houndcats,13.0,1972,NBC,DePatie-Freleng Enterprises,Traditional,7.0,87%
718,House of Mouse,52.0,2001-2003,Disney,Walt Disney Television Animation,Traditional,7.5,96%
719,HouseBroken,26.0,2021-present,Fox,Bento Box Entertainment,Traditional,6.4,73%
720,How to Stay at Home,3.0,2021,Disney,Disney Television Animation,Traditional,6.7,63%
721,The Huckleberry Hound Show,57.0,1958-1961,Syndication,Hanna-Barbera,Traditional,6.6,90%
722,Hulk Hogan's Rock 'n' Wrestling,26.0,1985-1986,CBS,DIC Entertainment,Traditional,6.1,89%
723,Human Discoveries,10.0,2019,Facebook Watch,ShadowMachine,Flash,7.0,97%
724,Human Kind Of,21.0,2018,Facebook Watch,Cartuna,Traditional,7.3,96%
725,Human Resources,20.0,2022-2023,Netflix,"Titmouse, Inc.",Flash,7.1,78%
726,Hammerman,13.0,1991-1992,ABC,DIC Entertainment,Traditional,3.9,69%
727,Handy Manny,113.0,2006-2013,Disney,Disney Television Animation,CGI,5.6,89%
728,Happy Monster Band,20.0,2007-2008,Disney,Kickstart Productions,Flash,7.5,88%
730,Happy Tree Friends,13.0,2006,G4,Mondo Media,Flash,7.0,86%
731,Harvey Beaks,52.0,2015-2017,Nickelodeon,Nickelodeon Animation Studio,Traditional,7.1,84%
732,He-Man and the Masters of the Universe (2002),39.0,2002-2004,Cartoon Network,Mike Young Productions,Traditional,7.5,94%
733,Hello Kitty's Furry Tale Theater,13.0,1987,CBS,DIC Entertainment,Traditional,6.6,89%
734,Hero Elementary,40.0,2020-2022,PBS Kids,Twin Cities PBS,Flash,7.5,64%
735,Hero Factory,11.0,2010-2014,Nicktoons,Threshold Animation Studios,CGI,5.3,96%
736,Hero: 108,52.0,2010-2012,Cartoon Network,MoonScoop Entertainment,Flash,5.8,88%
737,High School USA!,12.0,2013-2015,Fox,ADHD Studios,Flash,6.3,50%
738,Hilda,39.0,2018-2023,Netflix,Silvergate Media,Traditional,8.6,86%
739,The Hot Rod Dogs and Cool Car Cats,7.0,1995-1996,CITV,Mike Young Productions,Traditional,7.8,78%
740,Hot Wheels Battle Force 5,52.0,2009-2011,Cartoon Network,"Mattel, Inc.",CGI,5.8,92%
741,Hotel Transylvania: The Series,26.0,2017-2020,Disney,Sony Pictures Animation,Flash,5.6,66%
742,I Am Groot,5.0,2022-present,Disney,Marvel Studios Animation,CGI,6.7,88%
743,I Am the Greatest: The Adventures of Muhammad Ali,13.0,1977,NBC,Farmhouse Films,Traditional,6.6,93%
744,I Am Weasel,79.0,1997-2000,Cartoon Network,Hanna-Barbera,Traditional,6.5,89%
745,I Got a Rocket,26.0,2006-2007,Kabillion,Mike Young Productions,Flash,6.4,87%
746,I Heart Arlo,19.0,2021,Netflix,"Titmouse, Inc.",Traditional,7.0,57%
747,I Spy,52.0,2002-2003,HBO,Scholastic Media,Stop-motion,5.4,59%
748,Ice Age: Scrat Tales,6.0,2022,Disney,Blue Sky Studios,CGI,7.3,83%
749,Iconicles,26.0,2011,Discovery Familia,Dinamo Productions,CGI/Flash/Live-action,8.8,96%
750,If You Give a Mouse a Cookie,50.0,2017-2021,Amazon Prime Video,Amazon Studios,Traditional,6.7,51%
751,Iggy Arbuckle,26.0,2007,Animalia HD,National Geographic Kids,Flash,4.9,88%
752,Imaginary Mary,9.0,2017,ABC,Happy Madison Productions,CGI/Live-action,5.5,64%
753,The Impossibles,18.0,1966-1967,CBS,Hanna-Barbera,Traditional,7.5,93%
754,In the Bleachers,28.0,2002,ESPN,Walt Disney Television Animation,Flash,5.4,68%
755,In the Know,6.0,2024-present,Peacock,ShadowMachine,Stop-motion,6.8,54%
756,"Inch High, Private Eye",13.0,1973,NBC,Hanna-Barbera,Traditional,6.4,81%
758,The Incredible Hulk (1982),13.0,1982-1983,NBC,Marvel Productions,Traditional,6.7,69%
759,The Incredible Hulk (1996),21.0,1996-1997,UPN,Marvel Studios,Traditional,6.7,72%
760,Infinity Train,40.0,2019-2021,HBO,Cartoon Network Studios,Traditional,8.4,92%
761,The Ink and Paint Club,60.0,1997-1998,Disney,Walt Disney Productions,Traditional,8.5,96%
762,Inhumanoids,13.0,1986,Syndication,Sunbow Entertainment,Traditional,7.3,94%
763,Inside Job,18.0,2021-2022,Netflix,Netflix Animation,Traditional,8.2,66%
764,Inspector Gadget,86.0,1983-1986,Syndication,DIC Entertainment,Traditional,6.8,89%
765,Inspector Gadget's Field Trip,22.0,1996-1998,The History Channel,DIC Entertainment,Traditional/Live-action,8.1,80%
766,Interrupting Chicken,9.0,2022-present,Apple TV+,Mercury Filmworks,Traditional,6.7,84%
767,Invader Zim,27.0,2001-2006,Nickelodeon,Nickelodeon Animation Studio,Traditional,8.4,95%
768,Invasion America,13.0,1998,The WB,DreamWorks Animation Television,Traditional,7.5,96%
769,Invincible,9.0,2021-present,Amazon Prime Video,Amazon Studios,Traditional,8.7,88%
770,Iron Man,26.0,1994-1996,Syndication,Marvel Entertainment,Traditional,7.9,87%
771,Iron Man: Armored Adventures,52.0,2009-2012,Nicktoons,Marvel Animation,CGI,6.5,81%
772,It's a Small World: The Animated Series,9.0,2013-2014,Disney,Disney Television Animation,Flash,6.7,86%
773,It's Pony,46.0,2020-2022,Nickelodeon,Nickelodeon Animation Studio,Traditional,6.3,76%
774,It's Punky Brewster,26.0,1985-1986,NBC,Ruby-Spears Enterprises,Traditional,6.3,96%
775,The Itsy Bitsy Spider,26.0,1993-1996,USA Network,Hyperion Pictures,Traditional,7.1,89%
776,Jabberjaw,16.0,1976,ABC,Hanna-Barbera,Traditional,5.9,88%
777,Jackie Chan Adventures,95.0,2000-2005,Kids' WB,Adelaide Productions,Traditional,7.4,96%
778,The Jackson 5ive,23.0,1971-1972,ABC,Rankin/Bass Productions,Traditional,6.6,96%
779,Jake and the Never Land Pirates,116.0,2011-2016,Disney,Disney Television Animation,Flash,5.7,72%
780,Jakers! The Adventures of Piggley Winks,52.0,2003-2007,PBS Kids,Mike Young Productions,CGI,6.8,94%
781,James Bond Jr.,65.0,1991-1992,Syndication,Murakami-Wolf-Swenson,Traditional,6.0,90%
782,Jana of the Jungle,13.0,1978,NBC,Hanna-Barbera,Traditional,7.4,94%
783,Jay Jay the Jet Plane,62.0,1998-2005,TLCPBS Kids,PorchLight Entertainment,CGI/Live-action,3.7,53%
784,Jeannie,16.0,1973,CBS,Hanna-Barbera,Traditional,5.9,87%
785,Jeff & Some Aliens,10.0,2017,Comedy Central,ShadowMachine,Traditional,8.0,72%
786,The Jellies!,20.0,2017-2019,Adult Swim,Augenblick Studios,Flash,6.3,68%
788,Jellystone!,40.0,2021-present,HBO,Warner Bros. Animation,Flash,6.4,75%
789,Jem,65.0,1985-1988,Syndication,Sunbow Entertainment,Traditional,7.4,91%
790,Jessy and Nessy,20.0,2020-2021,Amazon Prime Video,Amazon Studios,CGI/Live-action,8.6,46%
791,Jessica's Big Little World,10.0,2023-present,Cartoonito,Cartoon Network Studios,Traditional,7.5,65%
792,The Jetsons,75.0,"1962-1963, 1985-1987",ABCSyndication,Hanna-Barbera,Traditional,7.0,92%
793,Jim and Judy in Teleland,52.0,1949-1950,Syndication,Television Screen Productions,Traditional,3.2,52%
795,JJ Villard's Fairy Tales,6.0,2020,Adult Swim,Williams Street,Traditional,5.8,66%
796,Johnny Bravo,65.0,1997-2004,Cartoon Network,Hanna-Barbera,Traditional,7.2,89%
797,Johnny Cypher in Dimension Zero,131.0,1967-1968,Syndication,"Oriolo Film Studios, Inc.",Traditional,6.4,62%
798,Johnny Test,117.0,2005-2014,The WB (Kids' WB) (2005-2008)Cartoon Network (2009-2014),Warner Bros. Animation (seasons 1-2),Traditional/Digital ink-and-paint (season 1)/Flash/Adobe Flash (seasons 2-6),5.2,88%
799,JoJo's Circus,63.0,2003-2007,Disney,Cartoon Pizza,Stop-motion,5.1,91%
800,Jokebook,3.0,1982,NBC,Hanna-Barbera,Traditional,6.4,72%
801,Jonny Quest,26.0,1964-1965,ABC,Hanna-Barbera,Traditional,7.8,92%
802,Josie and the Pussycats,32.0,1970-1972,CBS,Hanna-Barbera,Traditional,6.2,90%
804,Julius Jr.,52.0,2013-2015,Nick Jr.,Saban Brands,Flash,5.9,75%
805,Jumanji,40.0,1996-1999,UPNSyndication,Adelaide Productions,Traditional,6.3,89%
806,Jungle Cubs,21.0,1996-1998,ABC,Walt Disney Television Animation,Traditional,6.1,92%
807,Jungle Junction,47.0,2009-2012,Disney,Spider Eye Productions,CGI,5.5,96%
808,Jurassic World Camp Cretaceous,49.0,2020-2022,Netflix,DreamWorks Animation TelevisionAmblin Entertainment,CGI,7.5,89%
809,Justice League,52.0,2001-2004,Cartoon Network,Warner Bros. Animation,Traditional,8.6,90%
810,Justice League Action,52.0,2016-2018,Cartoon Network,Warner Bros. AnimationDC Entertainment,Traditional,7.5,71%
811,Justice League Unlimited,39.0,2004-2006,Cartoon Network,Warner Bros. Animation,Traditional,8.7,90%
812,Justice League: Gods and Monsters Chronicles,3.0,2015,Machinima,Warner Bros. AnimationDC Entertainment,Traditional,7.5,95%
813,KaBlam!,48.0,1996-2000,Nickelodeon,Nickelodeon Animation Studio,Traditional,7.8,92%
814,Kaijudo,52.0,2012-2013,The Hub Network,Hasbro Studios,Traditional,6.6,84%
815,Kamp Koral: SpongeBob's Under Years,26.0,2021-present,Paramount+,United Plankton PicturesNickelodeon Animation Studio,CGI,3.6,76%
816,Kappa Mikey,52.0,2006-2008,Nicktoons Network,Animation Collective,Flash,6.6,95%
817,The Karate Kid,13.0,1989,NBC,Saban Entertainment,Traditional,4.8,76%
818,Karate Kommandos,5.0,1986,Syndication,Ruby-Spears Enterprises,Traditional,5.6,84%
819,Karma's World,40.0,2021-2022,Netflix,Brown Bag Films,CGI,6.9,66%
820,Kenny the Shark,26.0,2003-2005,Discovery Kids,Phase 4,Traditional,6.7,87%
821,Kick Buttowski: Suburban Daredevil,54.0,2010-2012,Disney,Disney Television Animation,Flash,6.7,95%
822,Kid Cosmic,24.0,2021-2022,Netflix,Netflix Animation,Traditional,7.9,79%
823,Kid Notorious,13.0,2003,Comedy Central,6 Point Harness,Traditional,7.7,87%
824,Kid 'n Play,13.0,1990,NBC,Marvel Productions,Traditional,5.8,91%
825,The Kid Super Power Hour with Shazam!,36.0,1981-1982,NBC,Filmation,Traditional,6.3,88%
827,The Kids from Room 402,52.0,2000-2001,Fox,Saban Entertainment,Traditional,8.2,95%
828,Kinderwood,30.0,2020-2021,Noggin,"Titmouse, Inc.",Traditional,8.2,95%
829,Kizazi Moto: Generation Fire,10.0,2023,Disney,Triggerfish Animation Studios,Traditional/CGI,6.9,62%
830,Kiff,19.0,2023-present,Disney,Disney Television Animation,Traditional,7.5,79%
831,Kim Possible,92.0,2002-2007,Disney,Walt Disney Television Animation,Traditional,7.2,87%
832,King Arthur and the Knights of Justice,26.0,1992-1993,Syndication,Bohbot Entertainment,Traditional,7.1,90%
833,The King Kong Show,25.0,1966-1969,ABC,Videocraft International,Traditional,6.5,89%
834,King Leonardo and His Short Subjects,102.0,1960-1963,NBC,Total Television,Traditional,7.3,96%
835,King of the Hill,259.0,1997-present,Fox,Deedle-Dee Productions,Traditional,7.5,89%
836,King Star King,6.0,2014,Adult Swim,Williams Street,Traditional,5.6,62%
837,Kings of Atlantis,13.0,2017,YouTube Premium,YouTube Studio,CGI,6.5,46%
838,Kipo and the Age of Wonderbeasts,30.0,2020,Netflix,DreamWorks Animation Television,Traditional,8.3,71%
839,Kissyfur,26.0,1986-1988,NBC,DIC Entertainment,Traditional,7.5,92%
840,Kitti Katz,10.0,2023-present,Netflix,KidsCave Entertainment,CGI,6.7,50%
841,Kiya & the Kimoja Heroes,18.0,2023-present,Disney,Hasbro,CGI,6.7,70%
842,Klondike Kat,26.0,1966-1967,CBS,Total Television,Traditional,5.8,90%
843,Klutter!,8.0,1995-1996,Fox,Film Roman,Traditional,7.1,68%
844,Koala Man,8.0,2023,Hulu,Bento Box Entertainment,Flash,6.8,78%
845,Kong: King of the Apes,23.0,2016-2018,Netflix,Sprite Animation Studios,CGI,5.8,42%
846,Krapopolis,13.0,2023-present,Fox,Bento Box Entertainment,Flash,6.2,42%
847,Krypto the Superdog,39.0,2005-2006,Cartoon Network,Warner Bros. Animation,Traditional,5.6,91%
848,Kulipari,23.0,2016-present,Netflix,Splash Entertainment,Flash,6.8,45%
849,Kung Fu Panda: The Dragon Knight,23.0,2022-2023,Netflix,DreamWorks Animation Television,CGI,6.1,79%
850,Kung Fu Panda: Legends of Awesomeness,80.0,2011-2016,Nickelodeon,DreamWorks Animation TelevisionNickelodeon Animation Studio,CGI,7.0,89%
851,Kung Fu Panda: The Paws of Destiny,26.0,2018-2019,Amazon Prime Video,DreamWorks Animation Television,CGI,7.3,78%
852,Kuu Kuu Harajuku,78.0,2015-2019,Nickelodeon,Red Flags Fly,Flash,3.6,70%
853,The Kwicky Koala Show,16.0,1981,CBS,Hanna-Barbera,Traditional,6.5,89%
854,Lady Lovely Locks,20.0,1987,Syndication,DIC Entertainment,Traditional,7.8,93%
855,Laff-A-Lympics,24.0,1977-1978,ABC,Hanna-Barbera,Traditional,7.4,89%
856,Lalaloopsy,52.0,2013-2015,Nick Jr.,MoonScoop Entertainment,Flash,4.5,78%
857,The Land Before Time,26.0,2007-2008,Cartoon Network,Universal Animation Studios,Traditional,6.4,94%
858,Larryboy: The Cartoon Adventures,4.0,2002-2003,Direct to video,Big Idea Productions,Flash,6.7,95%
859,Lassie,52.0,2014-2019,Paramount+,Classic Media,CGI,7.4,79%
860,Lassie's Rescue Rangers,16.0,1972-1973,ABC,Filmation,Traditional,6.6,93%
861,The Last Kids on Earth,21.0,2019-2021,Netflix,Atomic Cartoons,Flash,7.2,77%
862,Laurel and Hardy,156.0,1966-1967,NBC,Hanna-Barbera,Traditional,6.7,89%
863,Laverne & Shirley,21.0,1981-1982,ABC,Hanna-Barbera,Traditional,7.0,90%
864,Lazer Tag Academy,13.0,1986,NBC,Ruby-Spears Productions,Traditional,6.5,93%
865,Lazor Wulf,10.0,2019-2021,Adult Swim,Williams Street,Flash,5.4,59%
866,Leader Dog,13.0,2004,Nicktoons,Animation Collective,Flash,7.5,84%
867,The Legend of Calamity Jane,13.0,1997-1998,Kids' WB,Gangster Production,Traditional,7.2,88%
868,The Legend of Korra,52.0,2012-2014,Nickelodeon,Nickelodeon Animation Studio,Traditional,8.3,86%
869,The Legend of Prince Valiant,65.0,1991-1993,Kids' WB,Hearst Entertainment Productions,Traditional,7.4,91%
870,The Legend of Tarzan,39.0,2001-2003,UPN,Walt Disney Television Animation,Traditional,6.2,65%
871,Legend of the Three Caballeros,13.0,2018,Disney,6 Point Harness,Flash,7.7,79%
872,The Legend of Vox Machina,24.0,2022-present,Amazon Prime Video,Amazon Studios,Traditional,8.4,91%
873,Legends of Chamberlain Heights,20.0,2016-2017,Comedy Central,Bento Box Entertainment,Flash,4.9,85%
874,Legion of Super Heroes,26.0,2005-2006,Kids' WB,Warner Bros. AnimationDC Entertainment,Traditional,7.1,70%
